Setting Voltage,INA VBUS ReadingINA Shunt Current,
1400,1.394,0.21
1500,1.447,0.21
1600,1.535,0.212
1700,1.674,0.215
1800,1.749,0.214
1900,1.89,0.215
2000,1.959,0.214
2100,2.032,0.214
2200,2.17,0.215
2300,2.241,0.212
2400,2.644,0.207
2500,2.564,0.207
2600,2.54,0.209
2700,2.645,0.212
2800,2.765,0.211
2900,2.937,0.209
3000,2.999,0.209
3100,2.962,0.211
3200,3.249,0.211
3300,3.27,0.211
3400,3.335,0.214
3500,3.46,0.21
3600,3.509,0.21
3700,3.659,0.214
3800,3.719,0.21
3900,3.864,0.212
4000,3.935,0.21
4100,4.006,0.212
4200,4.149,0.214
4300,4.219,0.214
4400,4.291,0.212
4500,4.431,0.212
4600,4.504,0.21
4700,4.645,0.21
4800,4.715,0.212
4900,4.786,0.214
5000,4.929,0.211
5100,4.995,0.212
5200,5.138,0.211
5300,5.209,0.212
5400,5.281,0.212
5500,5.42,0.214
5600,5.493,0.211
5700,5.63,0.211
5800,5.704,0.212
5900,5.774,0.214
6000,5.914,0.212
6100,5.985,0.212
6200,6.128,0.211
6300,6.196,0.211
6400,6.268,0.21
6500,6.409,0.212
6600,6.48,0.212
6700,6.623,0.211
6800,6.691,0.211
6900,6.76,0.211
7000,6.902,0.214
7100,6.971,0.212
7200,7.114,0.214
7300,7.185,0.212
7400,7.254,0.212
7500,7.395,0.214
7600,7.467,0.214
7700,7.61,0.214
7800,7.68,0.21
7900,7.751,0.21
8000,7.89,0.212
8100,7.961,0.212
8200,8.102,0.215
8300,8.172,0.214
8400,8.242,0.212
8500,8.384,0.215
8600,8.451,0.209
8700,8.596,0.212
8800,8.669,0.212
8900,8.736,0.21
9000,8.88,0.211
9100,8.949,0.214
9200,9.09,0.214
9300,9.161,0.214
9400,9.229,0.214
9500,9.369,0.212
9600,9.44,0.214
9700,9.577,0.215
9800,9.65,0.212
9900,9.722,0.214
10000,9.865,0.215
10100,9.935,0.214
10200,10.075,0.215
10300,10.15,0.216
10400,10.22,0.215
10500,10.329,0.215
10600,10.431,0.216
10700,10.505,0.217
10800,10.604,0.217
10900,10.689,0.217
11000,10.776,0.217
11100,10.849,0.217
11200,10.905,0.216
11300,11.006,0.215
11400,11.105,0.215
11500,11.206,0.214
11600,11.271,0.214
11700,11.374,0.214
