Setting Voltage,INA VBUS Reading,INA Shunt Current,Error,% error
1.4,1.435,0.034,-0.035,-3%
1.5,1.51,0.035,-0.01,-1%
1.6,1.571,0.032,0.029,2%
1.7,1.721,0.034,-0.021,-1%
1.8,1.792,0.035,0.008,0%
1.9,1.935,0.034,-0.035,-2%
2,2.005,0.035,-0.005,0%
2.1,2.079,0.034,0.021,1%
2.2,2.219,0.032,-0.019,-1%
2.3,2.292,0.032,0.008,0%
2.4,2.431,0.034,-0.031,-1%
2.5,2.506,0.034,-0.006,0%
2.6,2.576,0.034,0.024,1%
2.7,2.719,0.035,-0.019,-1%
2.8,2.79,0.032,0.01,0%
2.9,2.931,0.034,-0.031,-1%
3,3.002,0.032,-0.002,0%
3.1,3.074,0.035,0.026,1%
3.2,3.214,0.034,-0.014,0%
3.3,3.287,0.034,0.013,0%
3.4,3.417,0.031,-0.017,0%
3.5,3.497,0.032,0.003,0%
3.6,3.561,0.035,0.039,1%
3.7,3.705,0.034,-0.005,0%
3.8,3.771,0.034,0.029,1%
3.9,3.925,0.032,-0.025,-1%
4,3.985,0.032,0.015,0%
4.1,4.071,0.032,0.029,1%
4.2,4.206,0.032,-0.006,0%
4.3,4.268,0.034,0.032,1%
4.4,4.421,0.034,-0.021,0%
4.5,4.49,0.034,0.01,0%
4.6,4.561,0.032,0.039,1%
4.7,4.703,0.032,-0.003,0%
4.8,4.775,0.032,0.025,1%
4.9,4.918,0.034,-0.018,0%
5,4.987,0.032,0.013,0%
5.1,5.059,0.032,0.041,1%
5.2,5.199,0.032,0.001,0%
5.3,5.27,0.034,0.03,1%
5.4,5.414,0.032,-0.014,0%
5.5,5.485,0.034,0.015,0%
5.6,5.558,0.031,0.042,1%
5.7,5.697,0.034,0.003,0%
5.8,5.77,0.032,0.03,1%
5.9,5.913,0.035,-0.013,0%
6,5.983,0.032,0.017,0%
6.1,6.054,0.032,0.046,1%
6.2,6.197,0.032,0.003,0%
6.3,6.265,0.032,0.035,1%
6.4,6.34,0.032,0.06,1%
6.5,6.484,0.032,0.016,0%
6.6,6.551,0.034,0.049,1%
6.7,6.695,0.034,0.005,0%
6.8,6.764,0.034,0.036,1%
6.9,6.834,0.034,0.066,1%
7,6.976,0.032,0.024,0%
7.1,7.045,0.032,0.055,1%
7.2,7.184,0.032,0.016,0%
7.3,7.257,0.032,0.043,1%
7.4,7.329,0.032,0.071,1%
7.5,7.471,0.032,0.029,0%
7.6,7.541,0.034,0.059,1%
7.7,7.684,0.032,0.016,0%
7.8,7.755,0.034,0.045,1%
7.9,7.829,0.032,0.071,1%
8,7.969,0.034,0.031,0%
8.1,8.04,0.032,0.06,1%
8.2,8.181,0.034,0.019,0%
8.3,8.251,0.034,0.049,1%
8.4,8.324,0.032,0.076,1%
