Setting Voltage,INA VBUS Reading,error
1.4,1.46,-0.06
1.5,1.514,-0.014
1.6,1.487,0.113
1.7,1.625,0.075
1.8,1.849,-0.049
1.9,1.804,0.096
2,2.029,-0.029
2.1,1.962,0.138
2.2,2.09,0.11
2.3,2.342,-0.042
2.4,2.466,-0.066
2.5,2.546,-0.046
2.6,2.614,-0.014
2.7,2.724,-0.024
2.8,2.776,0.024
2.9,2.922,-0.022
3,2.994,0.006
3.1,3.065,0.035
3.2,3.211,-0.011
3.3,3.28,0.02
3.4,3.422,-0.022
3.5,3.489,0.011
3.6,3.562,0.038
3.7,3.832,-0.132
3.8,3.627,0.173
3.9,3.795,0.105
4,4.256,-0.256
4.1,4.2,-0.1
4.2,4.511,-0.311
4.3,4.231,0.069
4.4,4.269,0.131
4.5,4.584,-0.084
4.6,4.598,0.002
4.7,4.636,0.064
4.8,4.833,-0.033
4.9,4.786,0.114
5,5.044,-0.044
5.1,5.069,0.031
5.2,5.171,0.029
5.3,5.316,-0.016
5.4,5.388,0.012
5.5,5.505,-0.005
5.6,5.552,0.048
5.7,5.694,0.006
5.8,5.757,0.043
5.9,5.83,0.07
6,5.971,0.029
6.1,6.038,0.062
6.2,6.175,0.025
6.3,6.25,0.05
6.4,6.317,0.083
6.5,6.462,0.038
6.6,6.531,0.069
6.7,6.676,0.024
6.8,6.743,0.057
6.9,6.82,0.08
7,6.961,0.039
7.1,7.029,0.071
7.2,7.172,0.028
7.3,7.244,0.056
7.4,7.311,0.089
7.5,7.455,0.045
7.6,7.525,0.075
7.7,7.666,0.034
7.8,7.736,0.064
7.9,7.81,0.09
8,7.949,0.051
8.1,8.017,0.083
8.2,8.16,0.04
8.3,8.231,0.069
8.4,8.301,0.099
8.5,8.441,0.059
8.6,8.512,0.088
8.7,8.656,0.044
8.8,8.729,0.071
8.9,8.8,0.1
9,8.941,0.059
9.1,9.009,0.091
9.2,9.149,0.051
9.3,9.221,0.079
9.4,9.291,0.109
9.5,9.431,0.069
9.6,9.505,0.095
9.7,9.644,0.056
9.8,9.715,0.085
9.9,9.786,0.114
10,9.925,0.075
10.1,9.999,0.101
10.2,10.139,0.061
10.3,10.21,0.09
10.4,10.282,0.118
10.5,10.389,0.111
10.6,10.495,0.105
10.7,10.566,0.134
10.8,10.67,0.13
10.9,10.781,0.119
11,10.884,0.116
11.1,10.99,0.11
11.2,11.06,0.14
11.3,11.169,0.131
11.4,11.276,0.124
11.5,11.385,0.115
11.6,11.451,0.149
11.7,11.559,0.141
11.8,11.665,0.135
11.9,11.771,0.129
12,11.879,0.121
12.1,11.95,0.15
12.2,12.057,0.143
12.3,12.16,0.14
12.4,12.267,0.133
12.5,12.374,0.126
12.6,12.446,0.154
12.7,12.554,0.146
12.8,12.66,0.14
12.9,12.766,0.134
13,12.872,0.128
13.1,12.944,0.156
13.2,13.05,0.15
13.3,13.154,0.146
13.4,13.26,0.14
13.5,13.366,0.134
13.6,13.441,0.159
13.7,13.546,0.154
13.8,13.654,0.146
13.9,13.76,0.14
14,13.865,0.135
14.1,13.937,0.163
14.2,14.045,0.155
14.3,14.151,0.149
14.4,14.256,0.144
14.5,14.364,0.136
14.6,14.431,0.169
14.7,14.539,0.161
14.8,14.647,0.153
14.9,14.75,0.15
15,14.822,0.178
15.1,14.93,0.17
15.2,15.035,0.165
15.3,15.15,0.15
15.4,15.201,0.199
15.5,15.307,0.193
15.6,15.401,0.199
15.7,15.515,0.185
15.8,15.591,0.209
15.9,15.689,0.211
16,15.8,0.2
16.1,15.919,0.181
16.2,16.021,0.179
16.3,16.119,0.181
16.4,16.212,0.188
16.5,16.32,0.18
16.6,16.397,0.203
16.7,16.505,0.195
16.8,16.6,0.2
16.9,16.664,0.236
17,16.782,0.218
17.1,16.862,0.238
17.2,17.069,0.131
17.3,17.054,0.246
17.4,17.161,0.239
17.5,17.266,0.234
17.6,17.447,0.153
17.7,17.51,0.19
17.8,17.57,0.23
17.9,17.722,0.178
