Setting Voltage,INA VBUS Reading,Error,% error
1.4,1.33,0.07,5.00%
1.5,1.431,0.069,4.60%
1.6,1.501,0.099,6.19%
1.7,1.647,0.053,3.12%
1.8,1.72,0.08,4.44%
1.9,1.864,0.036,1.89%
2,1.934,0.066,3.30%
2.1,2.001,0.099,4.71%
2.2,2.14,0.06,2.73%
2.3,2.21,0.09,3.91%
2.4,2.355,0.045,1.88%
2.5,2.425,0.075,3.00%
2.6,2.496,0.104,4.00%
2.7,2.638,0.062,2.30%
2.8,2.706,0.094,3.36%
2.9,2.846,0.054,1.86%
3,2.919,0.081,2.70%
3.1,2.991,0.109,3.52%
3.2,3.134,0.066,2.06%
3.3,3.207,0.093,2.82%
3.4,3.347,0.053,1.56%
3.5,3.417,0.083,2.37%
3.6,3.486,0.114,3.17%
3.7,3.629,0.071,1.92%
3.8,3.702,0.098,2.58%
3.9,3.841,0.059,1.51%
4,3.911,0.089,2.23%
4.1,3.984,0.116,2.83%
4.2,4.13,0.07,1.67%
4.3,4.201,0.099,2.30%
4.4,4.274,0.126,2.86%
4.5,4.406,0.094,2.09%
4.6,4.48,0.12,2.61%
4.7,4.62,0.08,1.70%
4.8,4.69,0.11,2.29%
4.9,4.763,0.137,2.80%
5,4.902,0.098,1.96%
5.1,4.978,0.122,2.39%
5.2,5.123,0.077,1.48%
5.3,5.191,0.109,2.06%
5.4,5.264,0.136,2.52%
5.5,5.406,0.094,1.71%
5.6,5.475,0.125,2.23%
5.7,5.618,0.082,1.44%
5.8,5.688,0.112,1.93%
5.9,5.756,0.144,2.44%
6,5.906,0.094,1.57%
6.1,5.976,0.124,2.03%
6.2,6.114,0.086,1.39%
6.3,6.185,0.115,1.83%
6.4,6.256,0.144,2.25%
6.5,6.399,0.101,1.55%
6.6,6.47,0.13,1.97%
6.7,6.612,0.088,1.31%
6.8,6.684,0.116,1.71%
6.9,6.754,0.146,2.12%
7,6.899,0.101,1.44%
7.1,6.962,0.138,1.94%
7.2,7.103,0.097,1.35%
7.3,7.171,0.129,1.77%
7.4,7.243,0.157,2.12%
7.5,7.386,0.114,1.52%
7.6,7.456,0.144,1.89%
7.7,7.601,0.099,1.29%
7.8,7.674,0.126,1.62%
7.9,7.743,0.157,1.99%
8,7.882,0.118,1.48%
8.1,7.953,0.147,1.81%
8.2,8.095,0.105,1.28%
8.3,8.165,0.135,1.63%
8.4,8.236,0.164,1.95%
8.5,8.381,0.119,1.40%
8.6,8.452,0.148,1.72%
8.7,8.595,0.105,1.21%
8.8,8.662,0.138,1.57%
8.9,8.735,0.165,1.85%
9,8.879,0.121,1.34%
9.1,8.949,0.151,1.66%
9.2,9.09,0.11,1.20%
9.3,9.162,0.138,1.48%
9.4,9.232,0.168,1.79%
9.5,9.372,0.128,1.35%
9.6,9.445,0.155,1.61%
9.7,9.585,0.115,1.19%
9.8,9.656,0.144,1.47%
9.9,9.726,0.174,1.76%
10,9.87,0.13,1.30%
10.1,9.941,0.159,1.57%
10.2,10.081,0.119,1.17%
10.3,10.154,0.146,1.42%
10.4,10.224,0.176,1.69%
10.5,10.33,0.17,1.62%
10.6,10.435,0.165,1.56%
10.7,10.507,0.193,1.80%
10.8,10.614,0.186,1.72%
10.9,10.72,0.18,1.65%
11,10.825,0.175,1.59%
11.1,10.932,0.168,1.51%
11.2,11.005,0.195,1.74%
11.3,11.109,0.191,1.69%
11.4,11.214,0.186,1.63%
11.5,11.322,0.178,1.55%
11.6,11.394,0.206,1.78%
11.7,11.497,0.203,1.74%
11.8,11.604,0.196,1.66%
11.9,11.71,0.19,1.60%
12,11.817,0.183,1.53%
12.1,11.89,0.21,1.74%
12.2,11.992,0.208,1.70%
12.3,12.1,0.2,1.63%
12.4,12.207,0.193,1.56%
12.5,12.312,0.188,1.50%
12.6,12.382,0.218,1.73%
12.7,12.489,0.211,1.66%
12.8,12.599,0.201,1.57%
12.9,12.706,0.194,1.50%
13,12.807,0.193,1.48%
13.1,12.879,0.221,1.69%
13.2,12.989,0.211,1.60%
13.3,13.09,0.21,1.58%
13.4,13.195,0.205,1.53%
13.5,13.292,0.208,1.54%
13.6,13.369,0.231,1.70%
13.7,13.494,0.206,1.50%
13.8,13.606,0.194,1.41%
13.9,13.696,0.204,1.47%
14,13.799,0.201,1.44%
14.1,13.866,0.234,1.66%
14.2,13.984,0.216,1.52%
14.3,14.085,0.215,1.50%
14.4,14.194,0.206,1.43%
14.5,14.302,0.198,1.37%
14.6,14.371,0.229,1.57%
14.7,14.479,0.221,1.50%
14.8,14.585,0.215,1.45%
14.9,14.694,0.206,1.38%
15,14.766,0.234,1.56%
15.1,14.869,0.231,1.53%
15.2,14.977,0.223,1.47%
15.3,15.084,0.216,1.41%
15.4,15.156,0.244,1.58%
15.5,15.262,0.238,1.54%
15.6,15.366,0.234,1.50%
15.7,15.47,0.23,1.46%
15.8,15.545,0.255,1.61%
15.9,15.646,0.254,1.60%
16,15.751,0.249,1.56%
16.1,15.86,0.24,1.49%
16.2,15.939,0.261,1.61%
16.3,16.039,0.261,1.60%
16.4,16.142,0.258,1.57%
16.5,16.25,0.25,1.52%
16.6,16.329,0.271,1.63%
16.7,16.435,0.265,1.59%
16.8,16.531,0.269,1.60%
16.9,16.634,0.266,1.57%
17,16.745,0.255,1.50%
17.1,16.833,0.267,1.56%
17.2,16.936,0.264,1.53%
17.3,17.026,0.274,1.58%
17.4,17.115,0.285,1.64%
17.5,17.219,0.281,1.61%
17.6,17.299,0.301,1.71%
17.7,17.401,0.299,1.69%
17.8,17.505,0.295,1.66%
17.9,17.621,0.279,1.56%
