Setting Voltage,INA VBUS Reading,Delta
1.4,1.382,0.018
1.5,1.442,0.058
1.6,1.551,0.049
1.7,1.694,0.006
1.8,1.769,0.031
1.9,1.85,0.05
2,1.934,0.066
2.1,2.006,0.094
2.2,2.194,0.006
2.3,2.265,0.035
2.4,2.364,0.036
2.5,2.445,0.055
2.6,2.509,0.091
2.7,2.677,0.023
2.8,2.707,0.093
2.9,2.909,-0.009
3,2.966,0.034
3.1,3.036,0.064
3.2,3.177,0.023
3.3,3.256,0.044
3.4,3.385,0.015
3.5,3.466,0.034
3.6,3.53,0.07
3.7,3.674,0.026
3.8,3.736,0.064
3.9,3.877,0.023
4,3.955,0.045
4.1,4.02,0.08
4.2,4.174,0.026
4.3,4.241,0.059
4.4,4.388,0.012
4.5,4.455,0.045
4.6,4.524,0.076
4.7,4.666,0.034
4.8,4.737,0.063
4.9,4.88,0.02
5,4.953,0.047
5.1,5.023,0.077
5.2,5.165,0.035
5.3,5.236,0.064
5.4,5.381,0.019
5.5,5.454,0.046
5.6,5.524,0.076
5.7,5.663,0.037
5.8,5.737,0.063
5.9,5.878,0.022
6,5.949,0.051
6.1,6.02,0.08
6.2,6.164,0.036
6.3,6.234,0.066
6.4,6.305,0.095
6.5,6.447,0.053
6.6,6.518,0.082
6.7,6.661,0.039
6.8,6.729,0.071
6.9,6.805,0.095
7,6.939,0.061
7.1,7.014,0.086
7.2,7.154,0.046
7.3,7.228,0.072
7.4,7.3,0.1
7.5,7.438,0.062
7.6,7.509,0.091
7.7,7.652,0.048
7.8,7.725,0.075
7.9,7.795,0.105
8,7.936,0.064
8.1,8.007,0.093
8.2,8.145,0.055
8.3,8.216,0.084
8.4,8.289,0.111
8.5,8.427,0.073
8.6,8.501,0.099
8.7,8.642,0.058
8.8,8.717,0.083
8.9,8.789,0.111
9,8.927,0.073
9.1,8.999,0.101
9.2,9.141,0.059
9.3,9.21,0.09
9.4,9.284,0.116
9.5,9.424,0.076
9.6,9.495,0.105
9.7,9.635,0.065
9.8,9.706,0.094
9.9,9.776,0.124
10,9.92,0.08
10.1,9.99,0.11
10.2,10.131,0.069
10.3,10.202,0.098
10.4,10.271,0.129
10.5,10.379,0.121
10.6,10.485,0.115
10.7,10.591,0.109
10.8,10.662,0.138
10.9,10.769,0.131
11,10.874,0.126
11.1,10.98,0.12
11.2,11.086,0.114
11.3,11.155,0.145
11.4,11.262,0.138
11.5,11.367,0.133
11.6,11.471,0.129
11.7,11.577,0.123
11.8,11.647,0.153
11.9,11.755,0.145
12,11.861,0.139
12.1,11.966,0.134
12.2,12.036,0.164
12.3,12.142,0.158
12.4,12.249,0.151
12.5,12.354,0.146
12.6,12.462,0.138
12.7,12.536,0.164
12.8,12.642,0.158
12.9,12.75,0.15
13,12.855,0.145
13.1,12.962,0.138
13.2,13.034,0.166
13.3,13.139,0.161
13.4,13.251,0.149
13.5,13.352,0.148
13.6,13.425,0.175
13.7,13.53,0.17
13.8,13.639,0.161
13.9,13.742,0.158
14,13.849,0.151
14.1,13.92,0.18
14.2,14.025,0.175
14.3,14.131,0.169
14.4,14.237,0.163
14.5,14.344,0.156
14.6,14.411,0.189
14.7,14.517,0.183
14.8,14.625,0.175
14.9,14.715,0.185
15,14.786,0.214
15.1,14.891,0.209
15.2,15.001,0.199
15.3,15.104,0.196
15.4,15.215,0.185
15.5,15.282,0.218
15.6,15.39,0.21
15.7,15.495,0.205
15.8,15.604,0.196
15.9,15.682,0.218
16,15.782,0.218
16.1,15.892,0.208
16.2,15.996,0.204
16.3,16.075,0.225
16.4,16.172,0.228
16.5,16.281,0.219
16.6,16.389,0.211
16.7,16.47,0.23
16.8,16.577,0.223
16.9,16.671,0.229
17,16.776,0.224
17.1,16.885,0.215
17.2,16.972,0.228
17.3,17.081,0.219
17.4,17.167,0.233
17.5,17.276,0.224
17.6,17.362,0.238
17.7,17.466,0.234
17.8,17.551,0.249
17.9,17.655,0.245
