Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.381,0.002
1.500,1.480,0.000
1.600,1.580,0.002
1.700,1.685,0.002
1.800,1.782,0.002
1.900,1.879,0.002
2.000,1.979,0.002
2.100,2.077,0.000
2.200,2.174,0.002
2.300,2.264,0.000
2.400,2.365,0.000
2.500,2.462,0.002
2.600,2.557,0.002
2.700,2.659,0.002
2.800,2.760,0.002
2.900,2.867,0.002
3.000,2.967,0.002
3.100,3.069,0.002
3.200,3.161,0.000
3.300,3.257,0.002
3.400,3.ÿDEVICE_INITIALISED
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.380,0.002
1.500,1.481,0.002
1.600,1.579,0.000
1.700,1.684,0.002
1.800,1.782,0.002
1.900,1.879,0.000
2.000,1.977,0.002
2.100,2.076,0.000
2.200,2.175,0.002
2.300,2.265,0.000
2.400,2.364,0.000
2.500,2.461,0.000
2.600,2.559,0.002
2.700,2.660,0.000
2.800,2.760,0.000
2.900,2.860,0.002
3.000,2.970,0.000
3.100,3.069,0.000
3.200,3.161,0.002
3.300,3.257,0.000
3.400,3.356,0.000
3.500,3.454,0.000
3.600,3.550,0.000
3.700,3.650,0.000
3.800,3.755,0.002
3.900,3.855,0.002
4.000,3.952,0.002
4.100,4.055,0.002
4.200,4.150,0.002
4.300,4.249,0.000
4.400,4.344,0.000
4.500,4.445,0.002
4.600,4.540,0.000
4.700,4.639,0.000
4.800,4.740,0.002
4.900,4.836,0.000
5.000,4.933,0.002
5.100,5.031,0.002
5.200,5.134,0.002
5.300,5.231,0.002
5.400,5.328,0.000
5.500,5.422,0.000
5.600,5.524,0.000
5.700,5.623,0.002
5.800,5.719,0.002
5.900,5.822,0.000
6.000,5.922,0.002
6.100,6.023,0.002
6.200,6.121,0.002
6.300,6.225,0.002
6.400,6.322,0.000
6.500,6.420,0.002
6.600,6.520,0.000
6.700,6.618,0.002
6.800,6.716,0.000
6.900,6.816,0.002
7.000,6.921,0.000
7.100,7.018,0.000
7.200,7.115,0.002
7.300,7.217,0.002
7.400,7.315,0.002
7.500,7.414,0.002
7.600,7.513,0.002
7.700,7.612,0.002
7.800,7.706,0.002
7.900,7.805,0.000
8.000,7.906,0.002
8.100,8.006,0.002
8.200,8.105,0.002
8.300,8.205,0.000
8.400,8.307,0.002
8.500,8.407,0.002
8.600,8.505,0.002
8.700,8.609,0.002
8.800,8.704,0.002
8.900,8.799,0.002
9.000,8.894,0.002
9.100,8.997,0.002
9.200,9.096,0.002
9.300,9.194,0.000
9.400,9.294,0.002
9.500,9.387,0.002
9.600,9.484,0.002
9.700,9.580,0.002
9.800,9.681,0.000
9.900,9.777,0.002
10.000,9.872,0.000
10.100,9.967,0.000
10.200,10.069,0.002
10.300,10.164,0.000
10.400,10.261,0.002
10.500,10.362,0.002
10.600,10.460,0.002
10.700,10.557,0.000
10.800,10.656,0.000
10.900,10.759,0.002
11.000,10.856,0.002
11.100,10.952,0.000
11.200,11.052,0.002
11.300,11.147,0.002
11.400,11.242,0.000
11.500,11.337,0.002
11.600,11.436,0.002
11.700,11.529,0.002
11.800,11.622,0.000
11.900,11.720,0.002
12.000,11.816,0.002
12.100,11.910,0.002
12.200,12.005,0.000
12.300,12.101,0.000
12.400,12.195,0.002
12.500,12.291,0.002
12.600,12.396,0.002
12.700,12.494,0.000
12.800,12.595,0.002
12.900,12.695,0.002
13.000,12.801,0.000
13.100,12.900,0.002
13.200,12.997,0.002
13.300,13.100,0.002
13.400,13.197,0.002
13.500,13.295,0.002
13.600,13.391,0.002
13.700,13.494,0.000
13.800,13.591,0.002
13.900,13.690,0.002
14.000,13.785,0.002
14.100,13.884,0.000
14.200,13.981,0.002
14.300,14.077,0.000
14.400,14.179,0.000
14.500,14.276,0.002
14.600,14.372,0.002
14.700,14.469,0.002
14.800,14.571,0.000
14.900,14.667,0.000
15.000,14.752,0.002
15.100,14.859,0.000
15.200,14.959,0.002
15.300,15.060,0.002
15.400,15.160,0.002
15.500,15.262,0.002
15.600,15.362,0.002
15.700,15.457,0.002
15.800,15.559,0.002
15.900,15.655,0.000
16.000,15.752,0.000
16.100,15.850,0.002
16.200,15.952,0.002
16.300,16.050,0.002
16.400,16.147,0.002
16.500,16.249,0.000
16.600,16.346,0.002
16.700,16.445,0.002
16.800,16.541,0.002
16.900,16.640,0.002
17.000,16.734,0.002
17.100,16.831,0.002
17.200,16.934,0.002
17.300,17.031,0.002
17.400,17.129,0.002
17.500,17.227,0.002
17.600,17.330,0.002
17.700,17.426,0.002
17.800,17.520,0.000
17.900,17.612,0.002
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,2.031,0.002
