Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.376,0.002
1.500,1.477,0.000
1.600,1.575,0.002
1.700,1.677,0.002
1.800,1.780,0.002
1.900,1.881,0.002
2.000,1.976,0.002
2.100,2.077,0.000
2.200,2.177,0.002
2.300,2.276,0.002
2.400,2.380,0.000
2.500,2.477,0.000
2.600,2.579,0.002
2.700,2.680,0.000
2.800,2.780,0.002
2.900,2.895,0.000
3.000,2.997,0.002
3.100,3.092,0.002
3.200,3.191,0.002
3.300,3.287,0.002
3.400,3.387,0.002
3.500,3.485,0.002
3.600,3.587,0.002
3.700,3.692,0.002
3.800,3.792,0.000
3.900,3.895,0.002
4.000,3.999,0.000
4.100,4.098,0.000
4.200,4.199,0.002
4.300,4.296,0.000
4.400,4.393,0.002
4.500,4.495,0.000
4.600,4.592,0.002
4.700,4.695,0.002
4.800,4.794,0.000
4.900,4.891,0.000
5.000,4.994,0.002
5.100,5.095,0.002
5.200,5.194,0.002
5.300,5.295,0.002
5.400,5.396,0.000
5.500,5.491,0.000
5.600,5.594,0.000
5.700,5.691,0.002
5.800,5.794,0.002
5.900,5.894,0.000
6.000,5.998,0.000
6.100,6.101,0.000
6.200,6.200,0.002
6.300,6.302,0.002
6.400,6.405,0.002
6.500,6.501,0.002
6.600,6.603,0.002
6.700,6.706,0.000
6.800,6.805,0.002
6.900,6.910,0.002
7.000,7.007,0.002
7.100,7.109,0.000
7.200,7.210,0.002
7.300,7.309,0.002
7.400,7.413,0.002
7.500,7.514,0.002
7.600,7.611,0.002
7.700,7.709,0.002
7.800,7.811,0.002
7.900,7.909,0.002
8.000,8.012,0.002
8.100,8.111,0.002
8.200,8.216,0.000
8.300,8.319,0.000
8.400,8.417,0.000
8.500,8.520,0.002
8.600,8.617,0.002
8.700,8.719,0.002
8.800,8.816,0.002
8.900,8.911,0.002
9.000,9.015,0.002
9.100,9.116,0.002
9.200,9.216,0.002
9.300,9.312,0.002
9.400,9.406,0.000
9.500,9.505,0.002
9.600,9.606,0.000
9.700,9.701,0.002
9.800,9.802,0.002
9.900,9.901,0.000
10.000,9.996,0.002
10.100,10.095,0.000
10.200,10.195,0.002
10.300,10.290,0.002
10.400,10.391,0.002
10.500,10.489,0.000
10.600,10.589,0.002
10.700,10.687,0.002
10.800,10.784,0.000
10.900,10.882,0.002
11.000,10.977,0.002
11.100,11.067,0.000
11.200,11.169,0.000
11.300,11.259,0.002
11.400,11.351,0.002
11.500,11.446,0.000
11.600,11.531,0.000
11.700,11.626,0.000
11.800,11.714,0.002
11.900,11.805,0.002
12.000,11.904,0.000
12.100,11.992,0.002
12.200,12.091,0.002
12.300,12.177,0.002
12.400,12.275,0.000
12.500,12.347,0.002
12.600,12.451,0.002
12.700,12.537,0.002
12.800,12.574,0.002
12.900,12.657,0.002
13.000,12.772,0.002
13.100,12.866,0.002
13.200,12.965,0.002
13.300,13.045,0.002
13.400,13.136,0.002
13.500,13.222,0.002
13.600,13.306,0.002
13.700,13.406,0.002
13.800,13.504,0.002
13.900,13.600,0.002
14.000,13.700,0.002
14.100,13.795,0.002
14.200,13.899,0.000
14.300,14.000,0.002
14.400,14.095,0.002
14.500,14.190,0.000
14.600,14.292,0.002
14.700,14.394,0.000
14.800,14.479,0.002
14.900,14.582,0.000
15.000,14.685,0.002
15.100,14.787,0.002
15.200,14.896,0.002
15.300,14.991,0.000
15.400,15.111,0.002
15.500,15.205,0.002
15.600,15.300,0.002
15.700,15.411,0.002
15.800,15.500,0.000
15.900,15.600,0.000
16.000,15.707,0.002
16.100,15.801,0.002
16.200,15.907,0.002
16.300,16.016,0.000
16.400,16.111,0.002
16.500,16.209,0.002
16.600,16.315,0.000
16.700,16.405,0.002
16.800,16.501,0.002
16.900,16.619,0.002
17.000,16.691,0.000
17.100,16.794,0.000
17.200,16.894,0.002
17.300,16.999,0.000
17.400,17.104,0.000
17.500,17.195,0.002
17.600,17.294,0.002
17.700,17.449,0.002
17.800,17.644,0.002
17.900,17.755,0.002
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,2.131,0.000
1.500,1.462,0.000
1.600,1.567,0.002
1.700,1.665,0.002
1.800,1.771,0.002
1.900,1.871,0.002
DEVICE_INITIALISED
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.370,0.002
1.500,1.472,0.002
1.600,1.570,0.000
1.700,1.671,0.002
1.800,1.774,0.000
1.900,1.875,0.002
2.000,1.970,0.002
2.100,2.072,0.000
2.200,2.171,0.002
2.300,2.260,0.002
2.400,2.359,0.002
2.500,2.457,0.000
2.600,2.556,0.002
2.700,2.659,0.002
2.800,2.759,0.000
2.900,2.875,0.002
3.000,2.977,0.000
3.100,3.072,0.002
3.200,3.170,0.000
3.300,3.267,0.002
3.400,3.366,0.002
3.500,3.462,0.002
3.600,3.566,0.002
3.700,3.670,0.002
3.800,3.771,0.000
3.900,3.876,0.002
4.000,3.979,0.002
4.100,4.078,0.002
4.200,4.177,0.002
4.300,4.279,0.002
4.400,4.374,0.002
4.500,4.474,0.000
4.600,4.572,0.000
4.700,4.674,0.002
4.800,4.775,0.000
4.900,4.871,0.002
5.000,4.974,0.002
5.100,5.076,0.002
5.200,5.174,0.002
5.300,5.275,0.002
5.400,5.376,0.002
5.500,5.471,0.002
5.600,5.574,0.000
5.700,5.671,0.000
5.800,5.774,0.002
5.900,5.874,0.000
