Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.389,0.002
1.500,1.485,0.000
1.600,1.582,0.002
DEVICE_INITIALISED
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.381,0.000
1.500,1.484,0.000
1.600,1.581,0.002
1.700,1.687,0.000
1.800,1.782,0.002
1.900,1.880,0.002
2.000,1.980,0.000
2.100,2.077,0.002
2.200,2.176,0.002
2.300,2.269,0.000
2.400,2.370,0.002
2.500,2.467,0.002
2.600,2.562,0.002
2.700,2.664,0.002
2.800,2.765,0.002
2.900,2.865,0.002
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.385,0.002
1.500,1.484,0.002
1.600,1.585,0.000
1.700,1.691,0.002
DEVICE_INITIALISED
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.381,0.000
1.500,1.482,0.000
1.600,1.582,0.002
1.700,1.691,0.002
1.800,1.791,0.002
1.900,1.887,0.002
2.000,1.989,0.002
2.100,2.091,0.002
2.200,2.189,0.002
2.300,2.285,0.002
2.400,2.388,0.002
2.500,2.485,0.002
2.600,2.584,0.002
2.700,2.684,0.000
2.800,2.787,0.002
2.900,2.901,0.002
3.000,3.005,0.002
3.100,3.099,0.002
3.200,3.197,0.002
3.300,3.297,0.002
3.400,3.394,0.002
3.500,3.495,0.000
3.600,3.597,0.002
3.700,3.697,0.002
3.800,3.804,0.000
3.900,3.906,0.002
4.000,4.005,0.000
4.100,4.106,0.002
4.200,4.209,0.002
4.300,4.302,0.002
4.400,4.402,0.002
4.500,4.500,0.002
4.600,4.603,0.000
4.700,4.703,0.002
4.800,4.800,0.000
4.900,4.900,0.002
5.000,5.003,0.002
5.100,5.100,0.002
5.200,5.204,0.002
5.300,5.304,0.002
5.400,5.401,0.002
5.500,5.501,0.002
5.600,5.604,0.002
5.700,5.701,0.000
5.800,5.804,0.002
5.900,5.907,0.002
6.000,6.007,0.002
6.100,6.112,0.002
6.200,6.215,0.002
6.300,6.314,0.000
6.400,6.415,0.000
6.500,6.511,0.002
6.600,6.612,0.000
6.700,6.716,0.002
6.800,6.816,0.000
6.900,6.920,0.002
7.000,7.023,0.002
7.100,7.119,0.000
7.200,7.221,0.002
7.300,7.324,0.000
7.400,7.422,0.002
7.500,7.525,0.000
7.600,7.625,0.002
7.700,7.720,0.000
7.800,7.822,0.002
7.900,7.925,0.000
8.000,8.027,0.002
8.100,8.127,0.002
8.200,8.231,0.002
8.300,8.331,0.002
8.400,8.434,0.002
8.500,8.536,0.002
8.600,8.635,0.000
8.700,8.734,0.002
8.800,8.832,0.002
8.900,8.930,0.002
9.000,9.032,0.002
9.100,9.136,0.000
9.200,9.234,0.002
9.300,9.332,0.002
9.400,9.431,0.002
9.500,9.527,0.002
9.600,9.629,0.000
9.700,9.730,0.002
9.800,9.826,0.000
9.900,9.925,0.000
10.000,10.025,0.002
10.100,10.121,0.000
10.200,10.222,0.002
10.300,10.319,0.000
10.400,10.421,0.002
10.500,10.522,0.002
10.600,10.621,0.002
10.700,10.724,0.002
10.800,10.826,0.002
10.900,10.922,0.002
11.000,11.022,0.002
11.100,11.122,0.002
11.200,11.219,0.002
11.300,11.317,0.002
11.400,11.415,0.002
11.500,11.509,0.002
11.600,11.607,0.002
11.700,11.704,0.000
11.800,11.800,0.002
11.900,11.899,0.000
12.000,11.997,0.002
12.100,12.091,0.000
12.200,12.189,0.002
12.300,12.289,0.002
12.400,12.387,0.002
12.500,12.491,0.000
12.600,12.596,0.000
12.700,12.696,0.002
12.800,12.801,0.002
12.900,12.906,0.002
13.000,13.004,0.002
13.100,13.106,0.002
13.200,13.209,0.002
13.300,13.305,0.000
13.400,13.406,0.002
13.500,13.509,0.002
13.600,13.606,0.002
13.700,13.709,0.000
13.800,13.804,0.000
13.900,13.904,0.002
14.000,14.005,0.002
14.100,14.101,0.000
14.200,14.204,0.000
14.300,14.304,0.002
14.400,14.401,0.002
14.500,14.501,0.002
14.600,14.602,0.002
14.700,14.699,0.002
14.800,14.791,0.002
14.900,14.896,0.000
15.000,14.997,0.002
15.100,15.104,0.002
15.200,15.207,0.002
15.300,15.306,0.002
15.400,15.409,0.002
15.500,15.510,0.002
15.600,15.605,0.000
15.700,15.707,0.000
15.800,15.810,0.002
15.900,15.907,0.002
16.000,16.010,0.002
16.100,16.111,0.002
16.200,16.209,0.000
16.300,16.311,0.002
16.400,16.414,0.002
16.500,16.510,0.002
16.600,16.610,0.002
16.700,16.709,0.002
16.800,16.804,0.002
16.900,16.906,0.002
17.000,17.009,0.002
17.100,17.107,0.000
17.200,17.210,0.002
17.300,17.312,0.002
17.400,17.409,0.002
17.500,17.507,0.002
17.600,17.601,0.002
17.700,17.697,0.002
17.800,17.790,0.002
17.900,17.881,0.002
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,2.077,0.002
1.500,1.489,0.002
1.600,1.585,0.002
1.700,1.691,0.000
1.800,1.792,0.002
1.900,1.889,0.002
2.000,1.990,0.002
2.100,2.091,0.002
2.200,2.189,0.002
2.300,2.285,0.000
2.400,2.389,0.002
2.500,2.485,0.002
2.600,2.587,0.000
2.700,2.682,0.000
2.800,2.787,0.002
2.900,2.902,0.002
3.000,3.005,0.000
3.100,3.100,0.002
3.200,3.197,0.002
3.300,3.299,0.002
3.400,3.395,0.002
3.500,3.496,0.002
3.600,3.599,0.000
3.700,3.700,0.000
3.800,3.802,0.000
3.900,3.906,0.002
4.000,4.005,0.000
4.100,4.108,0.002
4.200,4.208,0.002
