Setting Voltage,INA VBUS Reading,Error
1.4,1.384,0.016
1.5,1.485,0.015
1.6,1.59,0.01
1.7,1.69,0.01
1.8,1.789,0.011
1.9,1.889,0.011
2,1.989,0.011
2.1,2.087,0.013
2.2,2.19,0.01
2.3,2.289,0.011
2.4,2.386,0.014
2.5,2.487,0.013
2.6,2.582,0.018
2.7,2.686,0.014
2.8,2.791,0.009
2.9,2.9,0
3,3.004,-0.004
3.1,3.102,-0.002
3.2,3.196,0.004
3.3,3.297,0.003
3.4,3.398,0.002
3.5,3.494,0.006
3.6,3.597,0.003
3.7,3.702,-0.002
3.8,3.802,-0.002
3.9,3.905,-0.005
4,4.009,-0.009
4.1,4.106,-0.006
4.2,4.208,-0.008
4.3,4.306,-0.006
4.4,4.402,-0.002
4.5,4.504,-0.004
4.6,4.601,-0.001
4.7,4.703,-0.003
4.8,4.804,-0.004
4.9,4.9,0
5,5.003,-0.003
5.1,5.105,-0.005
5.2,5.203,-0.003
5.3,5.304,-0.004
5.4,5.404,-0.004
5.5,5.505,-0.005
5.6,5.603,-0.003
5.7,5.705,-0.005
5.8,5.808,-0.008
5.9,5.907,-0.007
6,6.011,-0.011
6.1,6.116,-0.016
6.2,6.214,-0.014
6.3,6.316,-0.016
6.4,6.414,-0.014
6.5,6.515,-0.015
6.6,6.616,-0.016
6.7,6.716,-0.016
6.8,6.82,-0.02
6.9,6.924,-0.024
7,7.021,-0.021
7.1,7.123,-0.023
7.2,7.225,-0.025
7.3,7.324,-0.024
7.4,7.426,-0.026
7.5,7.529,-0.029
7.6,7.625,-0.025
7.7,7.724,-0.024
7.8,7.826,-0.026
7.9,7.924,-0.024
8,8.027,-0.027
8.1,8.131,-0.031
8.2,8.231,-0.031
8.3,8.335,-0.035
8.4,8.434,-0.034
8.5,8.536,-0.036
8.6,8.64,-0.04
8.7,8.734,-0.034
8.8,8.834,-0.034
8.9,8.935,-0.035
9,9.032,-0.032
9.1,9.136,-0.036
9.2,9.237,-0.037
9.3,9.331,-0.031
9.4,9.431,-0.031
9.5,9.531,-0.031
9.6,9.629,-0.029
9.7,9.729,-0.029
9.8,9.83,-0.03
9.9,9.925,-0.025
10,10.025,-0.025
10.1,10.125,-0.025
10.2,10.221,-0.021
10.3,10.322,-0.022
10.4,10.425,-0.025
10.5,10.522,-0.022
10.6,10.626,-0.026
10.7,10.727,-0.027
10.8,10.826,-0.026
10.9,10.927,-0.027
11,11.027,-0.027
11.1,11.122,-0.022
11.2,11.222,-0.022
11.3,11.322,-0.022
11.4,11.416,-0.016
11.5,11.515,-0.015
11.6,11.611,-0.011
11.7,11.705,-0.005
11.8,11.805,-0.005
11.9,11.899,0.001
12,11.999,0.001
12.1,12.095,0.005
12.2,12.189,0.011
12.3,12.289,0.011
12.4,12.391,0.009
12.5,12.491,0.009
12.6,12.596,0.004
12.7,12.701,-0.001
12.8,12.802,-0.002
12.9,12.906,-0.006
13,13.009,-0.009
13.1,13.106,-0.006
13.2,13.209,-0.009
13.3,13.31,-0.01
13.4,13.406,-0.006
13.5,13.509,-0.009
13.6,13.612,-0.012
13.7,13.71,-0.01
13.8,13.809,-0.009
13.9,13.909,-0.009
14,14.005,-0.005
14.1,14.106,-0.006
14.2,14.207,-0.007
14.3,14.305,-0.005
14.4,14.406,-0.006
14.5,14.506,-0.006
14.6,14.604,-0.004
14.7,14.705,-0.005
14.8,14.795,0.005
14.9,14.897,0.003
15,15.002,-0.002
15.1,15.109,-0.009
15.2,15.21,-0.01
15.3,15.311,-0.011
15.4,15.414,-0.014
15.5,15.51,-0.01
15.6,15.61,-0.01
15.7,15.707,-0.007
15.8,15.81,-0.01
15.9,15.912,-0.012
16,16.01,-0.01
16.1,16.112,-0.012
16.2,16.214,-0.014
16.3,16.311,-0.011
16.4,16.414,-0.014
16.5,16.515,-0.015
16.6,16.611,-0.011
16.7,16.71,-0.01
16.8,16.81,-0.01
16.9,16.907,-0.007
17,17.009,-0.009
17.1,17.112,-0.012
17.2,17.214,-0.014
17.3,17.314,-0.014
17.4,17.415,-0.015
17.5,17.509,-0.009
17.6,17.606,-0.006
17.7,17.697,0.003
17.8,17.791,0.009
17.9,17.887,0.013
