INA VBUS Reading,Setting Voltage,Error,predicted setpoint,,,,,,
1376,1400,24,1366.956812,33.0431885,,,,,Probably we can improve the transfer function by using Piece wise continous data whenever the error between predicted value to required value changes sign.
1391,1410,19,1382.188209,27.81179085,,,,,
1405,1420,15,1396.40418,23.59581971,,,,,
1413,1430,17,1404.527592,25.47240763,,,,,
1422,1440,18,1413.666431,26.33356904,,,,,
1429,1450,21,1420.774417,29.22558347,,,,,
1440,1460,20,1431.944108,28.05589186,,,,,
1447,1470,23,1439.052094,30.94790629,,,,,
1457,1480,23,1449.206359,30.79364119,,,,,
1466,1490,24,1458.345197,31.6548026,,,,,
1482,1500,18,1474.592022,25.40797844,,,,,
1492,1510,18,1484.746287,25.25371334,,,,,
1501,1520,19,1493.885125,26.11487475,,,,,
1511,1530,19,1504.03939,25.96060965,,,,,
1517,1540,23,1510.131949,29.86805059,,,,,
1530,1550,20,1523.332494,26.66750596,,,,,
1536,1560,24,1529.425053,30.5749469,,,,,
1547,1570,23,1540.594745,29.40525529,,,,,
1559,1580,21,1552.779863,27.22013717,,,,,
1572,1590,18,1565.980407,24.01959254,,,,,
1584,1600,16,1578.165526,21.83447442,,,,,
1590,1610,20,1584.258085,25.74191536,,,,,
1599,1620,21,1593.396923,26.60307677,,,,,
1611,1630,19,1605.582041,24.41795865,,,,,
1621,1640,19,1615.736306,24.26369355,,,,,
1629,1650,21,1623.859719,26.14028147,,,,,
1640,1660,20,1635.02941,24.97058986,,,,,
1649,1670,21,1644.168249,25.83175127,,,,,
1659,1680,21,1654.322514,25.67748617,,,,,
1672,1690,18,1667.523058,22.47694154,,,,,
1677,1700,23,1672.600191,27.39980899,,,,,
1689,1710,21,1684.785309,25.21469087,,,,,
1700,1720,20,1695.955001,24.04499926,,,,,
1707,1730,23,1703.062986,26.93701369,,,,,
1719,1740,21,1715.248104,24.75189557,,,,,
1729,1750,21,1725.40237,24.59763047,,,,,
1740,1760,20,1736.572061,23.42793886,,,,,
1749,1770,21,1745.7109,24.28910027,,,,,
1759,1780,21,1755.865165,24.13483517,,,,,
1767,1790,23,1763.988577,26.01142309,,,,,
1781,1800,19,1778.204548,21.79545195,,,,,
1790,1810,20,1787.343387,22.65661336,,,,,
1800,1820,20,1797.497652,22.50234826,,,,,
1809,1830,21,1806.63649,23.36350967,,,,,
1817,1840,23,1814.759902,25.24009759,,,,,
1830,1850,20,1827.960447,22.03955296,,,,,
1839,1860,21,1837.099286,22.90071437,,,,,
1847,1870,23,1845.222698,24.77730229,,,,,
1857,1880,23,1855.376963,24.62303719,,,,,
1870,1890,20,1868.577507,21.42249256,,,,,
1879,1900,21,1877.716346,22.28365397,,,,,
1887,1910,23,1885.839758,24.16024189,,,,,
1896,1920,24,1894.978597,25.0214033,,,,,
1910,1930,20,1909.194568,20.80543216,,,,,
1919,1940,21,1918.333406,21.66659357,,,,,
1926,1950,24,1925.441392,24.558608,,,,,
1935,1960,25,1934.580231,25.41976941,,,,,
1944,1970,26,1943.719069,26.28093082,,,,,
1959,1980,21,1958.950467,21.04953317,,,,,
