Setting Voltage,INA VBUS Reading,Error
1.4,1.409,-0.009
1.5,1.431,0.069
1.6,1.612,-0.012
1.7,1.657,0.043
1.8,1.765,0.035
1.9,1.877,0.023
2,1.935,0.065
2.1,2.091,0.009
2.2,2.187,0.013
2.3,2.266,0.034
2.4,2.354,0.046
2.5,2.445,0.055
2.6,2.594,0.006
2.7,2.648,0.052
2.8,2.826,-0.026
2.9,2.854,0.046
3,2.975,0.025
3.1,3.116,-0.016
3.2,3.18,0.02
3.3,3.329,-0.029
3.4,3.392,0.008
3.5,3.459,0.041
3.6,3.614,-0.014
3.7,3.676,0.024
3.8,3.825,-0.025
3.9,3.88,0.02
4,4.03,-0.03
4.1,4.114,-0.014
4.2,4.18,0.02
4.3,4.32,-0.02
4.4,4.389,0.011
4.5,4.53,-0.03
4.6,4.603,-0.003
4.7,4.668,0.032
4.8,4.808,-0.008
4.9,4.881,0.019
5,5.025,-0.025
5.1,5.096,0.004
5.2,5.236,-0.036
5.3,5.311,-0.011
5.4,5.384,0.016
5.5,5.527,-0.027
5.6,5.596,0.004
5.7,5.74,-0.04
5.8,5.81,-0.01
5.9,5.878,0.022
6,6.024,-0.024
6.1,6.098,0.002
6.2,6.236,-0.036
6.3,6.309,-0.009
6.4,6.453,-0.053
6.5,6.523,-0.023
6.6,6.594,0.006
6.7,6.736,-0.036
6.8,6.809,-0.009
6.9,6.95,-0.05
7,7.018,-0.018
7.1,7.089,0.011
7.2,7.231,-0.031
7.3,7.3,0
7.4,7.442,-0.042
7.5,7.514,-0.014
7.6,7.656,-0.056
7.7,7.728,-0.028
7.8,7.8,0
7.9,7.941,-0.041
8,8.01,-0.01
8.1,8.15,-0.05
8.2,8.222,-0.022
8.3,8.292,0.008
8.4,8.434,-0.034
8.5,8.504,-0.004
8.6,8.645,-0.045
8.7,8.719,-0.019
8.8,8.862,-0.062
8.9,8.934,-0.034
9,9.005,-0.005
9.1,9.145,-0.045
9.2,9.216,-0.016
9.3,9.355,-0.055
9.4,9.426,-0.026
9.5,9.496,0.004
9.6,9.639,-0.039
9.7,9.71,-0.01
9.8,9.851,-0.051
9.9,9.921,-0.021
10,10.066,-0.066
10.1,10.134,-0.034
10.2,10.205,-0.005
10.3,10.347,-0.047
10.4,10.417,-0.017
10.5,10.525,-0.025
10.6,10.595,0.005
10.7,10.701,-0.001
10.8,10.807,-0.007
10.9,10.912,-0.012
11,11.019,-0.019
11.1,11.126,-0.026
11.2,11.196,0.004
11.3,11.301,-0.001
11.4,11.409,-0.009
11.5,11.511,-0.011
11.6,11.619,-0.019
11.7,11.724,-0.024
11.8,11.794,0.006
11.9,11.899,0.001
12,12.005,-0.005
12.1,12.111,-0.011
12.2,12.215,-0.015
12.3,12.287,0.013
12.4,12.395,0.005
12.5,12.502,-0.002
12.6,12.61,-0.01
12.7,12.715,-0.015
12.8,12.824,-0.024
12.9,12.896,0.004
13,13.001,-0.001
13.1,13.107,-0.007
13.2,13.211,-0.011
13.3,13.32,-0.02
13.4,13.427,-0.027
13.5,13.501,-0.001
13.6,13.607,-0.007
13.7,13.71,-0.01
13.8,13.819,-0.019
13.9,13.924,-0.024
14,13.995,0.005
14.1,14.101,-0.001
14.2,14.206,-0.006
14.3,14.311,-0.011
14.4,14.416,-0.016
14.5,14.522,-0.022
14.6,14.592,0.008
14.7,14.694,0.006
14.8,14.791,0.009
14.9,14.895,0.005
15,15.001,-0.001
15.1,15.075,0.025
15.2,15.182,0.018
15.3,15.291,0.009
15.4,15.396,0.004
15.5,15.502,-0.002
15.6,15.577,0.023
15.7,15.679,0.021
15.8,15.786,0.014
15.9,15.891,0.009
16,15.999,0.001
16.1,16.081,0.019
16.2,16.189,0.011
16.3,16.284,0.016
16.4,16.39,0.01
16.5,16.496,0.004
16.6,16.584,0.016
16.7,16.687,0.013
16.8,16.782,0.018
16.9,16.889,0.011
17,16.994,0.006
17.1,17.084,0.016
17.2,17.192,0.008
17.3,17.28,0.02
17.4,17.381,0.019
17.5,17.487,0.013
17.6,17.576,0.024
17.7,17.677,0.023
17.8,17.77,0.03
17.9,17.864,0.036
