Setting Voltage,INA VBUS Reading,INA Shunt Current
1.4,1.411,-0.004
1.5,1.441,-0.004
1.6,1.527,-0.004
1.7,1.647,-0.004
1.8,1.722,-0.004
1.9,1.886,-0.004
2,1.971,-0.003
2.1,2.115,-0.003
2.2,2.2,-0.004
2.3,2.267,-0.005
2.4,2.356,-0.003
2.5,2.445,-0.004
2.6,2.566,-0.004
2.7,2.646,-0.003
2.8,2.731,-0.003
2.9,2.912,-0.004
3,2.977,-0.003
3.1,3.11,-0.003
3.2,3.19,-0.003
3.3,3.324,-0.003
3.4,3.4,-0.003
3.5,3.472,-0.004
3.6,3.614,-0.001
3.7,3.684,-0.003
3.8,3.812,-0.004
3.9,3.887,-0.003
4,3.956,-0.003
4.1,4.111,-0.003
4.2,4.179,-0.003
4.3,4.32,-0.003
4.4,4.393,-0.005
4.5,4.525,-0.001
4.6,4.603,-0.003
4.7,4.671,-0.001
4.8,4.808,-0.004
4.9,4.886,-0.004
5,5.026,-0.003
5.1,5.096,-0.003
5.2,5.169,-0.004
5.3,5.311,-0.003
5.4,5.382,-0.001
5.5,5.527,-0.004
5.6,5.599,-0.004
5.7,5.74,-0.004
5.8,5.813,-0.003
5.9,5.881,-0.003
6,6.024,-0.004
6.1,6.098,-0.004
6.2,6.237,-0.003
6.3,6.31,-0.004
6.4,6.381,-0.003
6.5,6.523,-0.001
6.6,6.596,-0.004
6.7,6.736,-0.003
6.8,6.81,-0.005
6.9,6.951,-0.004
7,7.018,-0.005
7.1,7.092,-0.003
7.2,7.234,-0.004
7.3,7.301,-0.003
7.4,7.442,-0.003
7.5,7.514,-0.001
7.6,7.586,-0.003
7.7,7.728,-0.004
7.8,7.801,-0.003
7.9,7.94,-0.003
8,8.012,-0.003
8.1,8.152,-0.003
8.2,8.224,-0.003
8.3,8.294,-0.004
8.4,8.434,-0.001
8.5,8.505,-0.004
8.6,8.649,-0.003
8.7,8.719,-0.004
8.8,8.791,-0.003
8.9,8.934,-0.001
9,9.005,-0.003
9.1,9.146,-0.004
9.2,9.215,-0.004
9.3,9.355,-0.003
9.4,9.427,-0.001
9.5,9.499,-0.003
9.6,9.637,-0.003
9.7,9.71,-0.001
9.8,9.851,-0.003
9.9,9.925,-0.004
10,9.994,-0.003
10.1,10.135,-0.005
10.2,10.205,-0.004
10.3,10.347,-0.003
10.4,10.417,-0.005
10.5,10.525,-0.001
10.6,10.597,-0.004
10.7,10.701,-0.004
10.8,10.81,-0.003
10.9,10.912,-0.004
11,11.019,-0.004
11.1,11.09,-0.003
11.2,11.197,-0.003
11.3,11.302,-0.003
11.4,11.407,-0.003
11.5,11.511,-0.003
11.6,11.619,-0.004
11.7,11.689,-0.004
11.8,11.794,-0.004
11.9,11.899,-0.004
12,12.004,-0.004
12.1,12.111,-0.003
12.2,12.217,-0.004
12.3,12.286,-0.003
12.4,12.397,-0.004
12.5,12.504,-0.004
12.6,12.611,-0.004
12.7,12.715,-0.004
12.8,12.787,-0.003
12.9,12.895,-0.004
13,13.001,-0.003
13.1,13.111,-0.003
13.2,13.216,-0.004
13.3,13.32,-0.003
13.4,13.392,-0.003
13.5,13.499,-0.001
13.6,13.609,-0.004
13.7,13.711,-0.004
13.8,13.819,-0.004
13.9,13.924,-0.003
14,13.995,-0.004
14.1,14.101,-0.004
14.2,14.206,-0.004
14.3,14.312,-0.004
14.4,14.416,-0.003
14.5,14.487,-0.004
14.6,14.591,-0.003
14.7,14.695,-0.003
14.8,14.791,-0.001
14.9,14.896,-0.003
15,15.002,-0.001
15.1,15.074,-0.003
15.2,15.185,-0.001
15.3,15.29,-0.003
15.4,15.396,-0.004
15.5,15.502,-0.004
15.6,15.574,-0.004
15.7,15.679,-0.003
15.8,15.789,-0.005
15.9,15.892,-0.004
16,16.001,-0.004
16.1,16.079,-0.003
16.2,16.177,-0.001
16.3,16.284,-0.004
16.4,16.39,-0.004
16.5,16.496,-0.004
16.6,16.583,-0.004
16.7,16.689,-0.003
16.8,16.784,-0.001
16.9,16.892,-0.005
17,16.977,-0.003
17.1,17.085,-0.003
17.2,17.192,-0.001
17.3,17.277,-0.004
17.4,17.382,-0.004
17.5,17.489,-0.003
17.6,17.576,-0.004
17.7,17.666,-0.003
17.8,17.771,-0.004
17.9,17.862,-0.003
