Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.390,-0.004
1.500,1.457,-0.004
DEVICE_INITIALISED
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.387,-0.003
1.500,1.430,-0.003
1.600,1.605,-0.003
1.700,1.662,-0.004
1.800,1.800,-0.004
1.900,1.919,-0.003
2.000,1.982,-0.004
2.100,2.071,-0.004
2.200,2.179,-0.004
2.300,2.281,-0.004
2.400,2.375,-0.003
2.500,2.515,-0.003
2.600,2.621,-0.004
2.700,2.641,-0.003
2.800,2.822,-0.003
2.900,2.870,-0.003
3.000,3.045,-0.003
3.100,3.112,-0.001
3.200,3.185,-0.004
3.300,3.330,-0.004
3.400,3.396,-0.003
3.500,3.534,-0.004
3.600,3.609,-0.004
3.700,3.680,-0.003
3.800,3.822,-0.003
3.900,3.882,-0.003
4.000,4.029,-0.003
4.100,4.106,-0.003
4.200,4.177,-0.003
4.300,4.320,-0.003
4.400,4.393,-0.004
4.500,4.532,-0.004
4.600,4.603,-0.004
4.700,4.673,-0.003
4.800,4.813,-0.004
4.900,4.882,-0.003
5.000,5.029,-0.003
5.100,5.099,-0.003
5.200,5.240,-0.003
5.300,5.314,-0.005
5.400,5.385,-0.005
5.500,5.529,-0.001
5.600,5.599,-0.004
5.700,5.741,-0.001
5.800,5.813,-0.003
5.900,5.882,-0.003
6.000,6.026,-0.003
6.100,6.098,-0.003
6.200,6.237,-0.003
6.300,6.311,-0.004
6.400,6.381,-0.001
6.500,6.524,-0.003
6.600,6.596,-0.004
6.700,6.736,-0.003
6.800,6.810,-0.003
6.900,6.884,-0.003
7.000,7.019,-0.003
7.100,7.090,-0.004
7.200,7.233,-0.003
7.300,7.302,-0.003
7.400,7.371,-0.004
7.500,7.514,-0.003
7.600,7.585,-0.004
7.700,7.730,-0.004
7.800,7.802,-0.004
7.900,7.941,-0.004
8.000,8.011,-0.004
8.100,8.085,-0.004
8.200,8.225,-0.003
8.300,8.292,-0.001
8.400,8.437,-0.004
8.500,8.507,-0.001
8.600,8.579,-0.001
8.700,8.720,-0.003
8.800,8.791,-0.003
8.900,8.934,-0.006
9.000,9.004,-0.004
9.100,9.075,-0.003
9.200,9.217,-0.003
9.300,9.289,-0.004
9.400,9.427,-0.004
9.500,9.499,-0.003
9.600,9.571,-0.005
9.700,9.712,-0.003
9.800,9.780,-0.004
9.900,9.925,-0.004
10.000,9.995,-0.003
10.100,10.136,-0.003
10.200,10.207,-0.001
10.300,10.277,-0.004
10.400,10.382,-0.001
10.500,10.489,-0.004
10.600,10.596,-0.003
10.700,10.669,-0.004
10.800,10.774,-0.004
10.900,10.877,-0.004
11.000,10.985,-0.001
11.100,11.090,-0.003
11.200,11.160,-0.003
11.300,11.269,-0.003
11.400,11.374,-0.003
11.500,11.476,0.000
11.600,11.584,-0.003
11.700,11.654,-0.003
11.800,11.760,-0.001
11.900,11.865,-0.004
12.000,11.970,-0.003
12.100,12.076,-0.003
12.200,12.146,-0.004
12.300,12.252,-0.004
12.400,12.357,-0.003
12.500,12.466,-0.004
12.600,12.575,-0.004
12.700,12.645,-0.004
12.800,12.752,-0.004
12.900,12.861,-0.003
13.000,12.967,-0.004
13.100,13.075,-0.004
13.200,13.145,-0.001
13.300,13.249,0.000
13.400,13.357,-0.003
13.500,13.466,-0.004
13.600,13.572,-0.004
13.700,13.679,-0.003
13.800,13.747,-0.004
13.900,13.855,-0.003
14.000,13.961,-0.004
14.100,14.069,-0.003
14.200,14.172,-0.004
14.300,14.242,-0.004
14.400,14.347,-0.001
14.500,14.452,-0.005
14.600,14.556,-0.003
14.700,14.661,-0.003
14.800,14.721,-0.004
14.900,14.829,-0.004
15.000,14.935,-0.004
15.100,15.039,-0.003
15.200,15.147,-0.004
15.300,15.216,-0.005
15.400,15.325,-0.001
15.500,15.434,-0.003
15.600,15.540,-0.004
15.700,15.617,-0.003
15.800,15.717,-0.003
15.900,15.822,-0.003
16.000,15.931,-0.003
16.100,16.035,-0.003
16.200,16.119,-0.003
16.300,16.214,-0.004
16.400,16.321,-0.003
16.500,16.429,-0.004
16.600,16.511,-0.003
16.700,16.621,-0.004
16.800,16.710,-0.003
16.900,16.819,-0.003
17.000,16.926,-0.003
17.100,17.015,-0.003
17.200,17.121,-0.004
17.300,17.209,-0.003
17.400,17.314,-0.003
17.500,17.419,-0.004
17.600,17.506,-0.003
17.700,17.599,-0.003
17.800,17.708,-0.001
17.900,17.796,-0.003
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.950,-0.004
1.500,1.427,-0.003
1.600,1.575,-0.003
1.700,1.665,-0.003
1.800,1.794,-0.001
