Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.357,-0.003
1.500,1.441,-0.003
1.600,1.625,-0.003
1.700,1.646,-0.005
1.800,1.736,-0.003
1.900,1.915,-0.003
2.000,1.960,-0.005
DEVICE_INITIALISED
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,1.391,-0.003
1.500,1.427,-0.004
1.600,1.634,-0.003
1.700,1.660,-0.004
1.800,1.776,-0.005
1.900,1.904,-0.003
2.000,1.965,-0.004
2.100,2.077,-0.004
2.200,2.177,-0.003
2.300,2.253,-0.003
2.400,2.361,-0.001
2.500,2.482,-0.003
2.600,2.571,-0.003
2.700,2.702,-0.004
2.800,2.842,-0.003
2.900,2.872,-0.004
3.000,2.980,-0.005
3.100,3.111,-0.004
3.200,3.181,-0.003
3.300,3.324,-0.004
3.400,3.390,-0.001
3.500,3.465,-0.004
3.600,3.599,-0.004
3.700,3.672,-0.003
3.800,3.816,-0.004
3.900,3.897,-0.004
4.000,4.035,-0.003
4.100,4.112,-0.003
4.200,4.181,-0.005
4.300,4.319,-0.003
4.400,4.390,-0.004
4.500,4.525,-0.003
4.600,4.604,-0.004
4.700,4.675,-0.001
4.800,4.816,-0.003
4.900,4.882,-0.003
5.000,5.026,-0.004
5.100,5.100,-0.004
5.200,5.239,-0.003
5.300,5.314,-0.003
5.400,5.384,-0.003
5.500,5.529,-0.004
5.600,5.598,-0.003
5.700,5.739,-0.003
5.800,5.811,-0.004
5.900,5.881,-0.003
6.000,6.024,-0.003
6.100,6.098,-0.004
6.200,6.237,-0.003
6.300,6.308,-0.004
6.400,6.454,-0.003
6.500,6.524,-0.003
6.600,6.595,-0.003
6.700,6.734,-0.001
6.800,6.809,-0.004
6.900,6.950,-0.005
7.000,7.019,-0.003
7.100,7.090,-0.004
7.200,7.233,-0.004
7.300,7.305,-0.003
7.400,7.445,-0.005
7.500,7.515,-0.003
7.600,7.657,-0.003
7.700,7.728,-0.003
7.800,7.800,-0.004
7.900,7.940,-0.004
8.000,8.012,-0.004
8.100,8.151,-0.004
8.200,8.224,-0.003
8.300,8.295,-0.003
8.400,8.436,-0.003
8.500,8.505,-0.003
8.600,8.650,-0.003
8.700,8.719,-0.003
